Reference,Entry in reference,Analysis description ,# of effect sizes,tau,tau^2,Q,I^2,Type of ES,Test for publication bias,Publication bias? ,Publication bias recoded
Hulleman et al. 2010,14,goal-goal correlations PAv-MAv,36,0.1,0.01,234.54,85.07717234,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,15,reliabilities PAp,195,0.264575131,0.07,5297.65,96.33799892,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,16,reliabilities PAv,143,0.173205081,0.03,1825.8,92.22258736,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,17,reliabilities MAp,189,0.2,0.04,4009.99,95.31170901,Pearson's r,publication status as moderator,NA,NA
Hulleman et al. 2010,18,reliabilities MAv,34,0.244948974,0.06,495.81,93.3442246,Pearson's r,publication status as moderator,NA,NA
Hagger et al. 2010,1,ego depletion and self-control,198,0.2,0.04,301.79,34.7228205,Corrected Cohen's d,NA,NA,NA
Connelly & Ones 2010,1,emotional stability and single-rater interrater reliability,72,0.15,0.0225,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,2,extraversion and single-rater interrater reliability,82,0.13,0.0169,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,3,openness and single-rater interrater reliability,53,0.14,0.0196,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,4,agreeableness and single-rater interrater reliability,83,0.15,0.0225,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,5,conscientiousness and single-rater interrater reliability,64,0.14,0.0196,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,6,emotional stability and self-other consensus,148,0.19,0.0361,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,7,extraversion and self-other consensus,186,0.17,0.0289,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,8,openness and self-other consensus,105,0.2,0.04,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,9,agreeableness and self-other consensus,151,0.12,0.0144,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,10,conscientiousness and self-other consensus,145,0.19,0.0361,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,11,emotional stability and predicting first impressions (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,12,emotional stability and predicting first impressions (self-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,13,extraversion and predicting first impressions (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,14,extraversion and predicting first impressions (self-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,15,openness and predicting first impressions (other-ratings),5,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,16,openness and predicting first impressions (self-ratings),5,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,17,agreeableness and predicting first impressions (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,18,agreeableness and predicting first impressions (self-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,19,conscientiousness and predicting first impressions (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,20,conscientiousness and predicting first impressions (self-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,21,emotional stability and predicting academic achievement (other-ratings),6,0.19,0.0361,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,22,extraversion and predicting academic achievement (other-ratings),7,0.47,0.2209,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,23,openness and predicting academic achievement (other-ratings),4,0.22,0.0484,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,24,agreeableness and predicting academic achievement (other-ratings),6,0.09,0.0081,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,25,conscientiousness and predicting academic achievement (other-ratings),9,0.24,0.0576,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,26,emotional stability and predicting job performance (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,27,extraversion and predicting job performance (other-ratings),6,0.15,0.0225,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,28,openness and predicting job performance (other-ratings),6,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,29,agreeableness and predicting job performance (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Connelly & Ones 2010,30,conscientiousness and predicting job performance (other-ratings),7,0,0,,,Corrected Pearson's r,NA,NA,NA
Lindberg et al. 2010,1,gender and mathematics (excluding national data sets),441,0.836660027,0.7,11478.74,96.16682667,Cohen's d,NA,NA,NA
Lindberg et al. 2010,2,gender and mathematics (including national data sets),56,0.031622777,0.001,393.04,86.00651333,Cohen's d,NA,NA,NA
Sio & Ormerod 2009,1,incubation and problem solving,117,0.288790582,0.0834,173.99,33.3295017,Cohen's d,funnel plot/Egger test,no,0
van den Bussche et al. 2009,1,subliminal priming,88,0.387298335,0.15,,,Cohen's d,publication status as moderator/funnel plot,no,0
Denson et al. 2009,1,cortisol,204,0.21,0.0441,,,Cohen's d,NA,NA,NA
Denson et al. 2009,2,NK cells,81,0.13,0.0169,,,Cohen's d,NA,NA,NA
Denson et al. 2009,3,NKCC,34,0.02,0.0004,,,Cohen's d,NA,NA,NA
Denson et al. 2009,4,other measures of natural immunity,41,0.01,0.0001,,,Cohen's d,NA,NA,NA
Denson et al. 2009,5,total lymphocytes,29,0.04,0.0016,,,Cohen's d,NA,NA,NA
Denson et al. 2009,6,T lymphocytes,34,0.42,0.1764,,,Cohen's d,NA,NA,NA
Denson et al. 2009,7,T helper cells,54,0.06,0.0036,,,Cohen's d,NA,NA,NA
Denson et al. 2009,8,T cytotoxic cells,58,0.06,0.0036,,,Cohen's d,NA,NA,NA
Denson et al. 2009,9,B lymphocytes,19,0.02,0.0004,,,Cohen's d,NA,NA,NA
Su et al. 2009,1,dimension: things-people,79,0.242,0.058564,,,Cohen's d,trim-and-fill,no,0
Su et al. 2009,2,dimension: data-ideas,79,0.217,0.047089,,,Cohen's d,trim-and-fill,no,0
Su et al. 2009,3,RIASEC interests: average d,80,0.101,0.010201,,,Cohen's d,trim-and-fill,no,0
Su et al. 2009,4,STEM interests: science,34,0.221,0.048841,,,Cohen's d,trim-and-fill,no,0
Su et al. 2009,5,STEM interests: mathematics,30,0.169,0.028561,,,Cohen's d,trim-and-fill,no,0
Su et al. 2009,6,STEM interests: engineering,45,0.279,0.077841,,,Cohen's d,trim-and-fill,no,0
Olatunji & Wolitzky-Taylor 2009,1,Anx vs. NCC,22,0.141421356,0.02,511.18,95.89185805,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,2,PD vs. NCC,17,0.2,0.04,442.01,96.38017239,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,3,SAD vs. NCC,5,0.2,0.04,13.58,70.544919,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,4,PTSD vs. NCC,5,0.68556546,0.47,116.45,96.56504938,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,5,GAD vs. NCC,4,0.264575131,0.07,24.65,87.8296146,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,6,Anx vs. MDC,11,0.244948974,0.06,255.4,96.08457322,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,7,PD vs. MDC,10,0.316227766,0.1,189.92,95.26116259,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,8,SAD vs. MDC,7,0.1,0.01,12.05,50.20746888,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,9,OCD vs. MDC,4,0.141421356,0.02,0.46,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,10,SP vs. MDC,4,0.1,0.01,2.92,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,11,GAD vs. MDC,7,0.316227766,0.1,66.01,90.91046811,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,12,MDC vs. NCC,5,0.1,0.01,6.23,35.79454254,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,13,PD vs. AWOP,3,0.173205081,0.03,1.67,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,14,PD vs. GAD,12,0.244948974,0.06,121.33,90.93381686,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,15,PD vs. PTSD,5,0.173205081,0.03,8.71,54.07577497,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,16,PD vs. OCD,9,0.141421356,0.02,27.3,70.6959707,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,17,PD vs. SAD,15,0.1,0.01,42.91,67.37357259,Cohen's d,fail-safe N,yes,1
Olatunji & Wolitzky-Taylor 2009,18,PD vs. SP,7,0.223606798,0.05,26.17,77.07298433,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,19,SAD vs. GAD,11,0.1,0.01,13.68,26.9005848,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,20,SAD vs. OCD,8,0.1,0.01,8.04,12.93532338,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,21,SAD vs. PTSD,4,0.223606798,0.05,6.32,52.53164557,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,22,SAD vs. SP,7,0.1,0.01,9.14,34.35448578,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,23,AWOP vs. GAD,3,0.316227766,0.1,4.19,52.2673031,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,24,AWOP vs. OCD,3,0.2,0.04,1.12,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,25,AWOP vs. SAD,3,0.141421356,0.02,1.26,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,26,AWOP vs. SP,3,0.141421356,0.02,1.78,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,27,SP vs. GAD,7,0.173205081,0.03,11.97,49.87468672,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,28,SP vs. OCD,5,0.173205081,0.03,9.06,55.84988962,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,29,SP vs. PTSD,3,0.519615242,0.27,13.86,85.56998557,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,30,GAD vs. OCD,7,0.1,0.01,5.77,0,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,31,GAD vs. PTSD,5,0.447213595,0.2,39.92,89.97995992,Cohen's d,fail-safe N,no,0
Olatunji & Wolitzky-Taylor 2009,32,OCD vs. PTSD,3,0.2,0.04,2.58,22.48062016,Cohen's d,fail-safe N,no,0
Roseth et al. 2008,1,achievement: coop vs. comp,23,0.786892623,0.6192,,,Hedges' g,NA,NA,NA
Roseth et al. 2008,2,achievement: coop vs. ind,55,0.433658852,0.18806,,,Hedges' g,NA,NA,NA
Roseth et al. 2008,3,achievement: comp vs. ind,29,0.506320057,0.25636,,,Hedges' g,NA,NA,NA
Roseth et al. 2008,4,positive peer relations: coop vs. comp,18,0.337298088,0.11377,,,Hedges' g,NA,NA,NA
Roseth et al. 2008,5,positive peer relations: coop vs. ind,11,0.285622128,0.08158,,,Hedges' g,NA,NA,NA
Roseth et al. 2008,6,positive peer relations: comp vs. ind,2,0.528251834,0.27905,,,Hedges' g,NA,NA,NA
Karelaia & Hogarth 2008,1,r_a,249,0.238746728,0.057,17.319,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,2,G,236,0.258843582,0.067,19.829,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,3,R_e,246,0.187082869,0.035,10.706,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,4,R_s,237,0.137840488,0.019,5.644,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,5,C,204,0.151657509,0.023,6.249,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,6,GR_e,236,0.264575131,0.07,20.668,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,7,GR_s,236,0.244948974,0.06,17.469,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
Karelaia & Hogarth 2008,8,GR_e - r_a,236,0.089442719,0.008,2.461,0,Weighted mean,Begg's test/Egger test/funnel plot/trim-and-fill,no,0
van Zomeren et al. 2008,1,injustice,65,0.2,0.04,541.19,88.17420869,Pearson's r,NA,NA,NA
van Zomeren et al. 2008,2,efficacy,53,0.19,0.0361,365.78,85.78380447,Pearson's r,NA,NA,NA
van Zomeren et al. 2008,3,identity,64,0.2,0.04,411.07,84.67414309,Pearson's r,NA,NA,NA
Currier et al. 2008,1,randomized studies: posttreatment,36,0.2,0.04,58.14,39.8004816,Cohen's d,trim-and-fill/Egger test,no,0
Currier et al. 2008,2,randomized studies: follow-up,27,0.141421356,0.02,36.81,29.36701983,Cohen's d,trim-and-fill/Egger test,no,0
Currier et al. 2008,3,nonrandom studies: posttreatment,12,0.538516481,0.29,35.84,69.30803571,Cohen's d,trim-and-fill/Egger test,no,0
Currier et al. 2008,4,nonrandom studies: follow-up,6,0,0,8.25,39.39393939,Cohen's d,trim-and-fill/Egger test,no,0
Mitte 2008,1,lexical decision: negative primed,14,0.141421356,0.02,16.03,18.90205864,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,2,lexical decision: negative unprimed,14,0,0,13.42,3.129657228,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,3,lexical decision: neutral primed,14,0.223606798,0.05,19.76,34.21052632,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,4,lexical decision: neutral unprimed,14,0.223606798,0.05,18.94,31.36219641,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,5,lexical decision: positive primed,5,0,0,1.71,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,6,lexical decision: positive unprimed,5,0,0,2.48,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,7,word-stem completion: negative primed,19,0.2,0.04,26.56,32.22891566,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,8,word-stem completion: negative unprimed,15,0,0,8.26,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,9,word-stem completion: negative primed-unprimed,8,0.1,0.01,7.96,12.06030151,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,10,word-stem completion: neutral primed,17,0.173205081,0.03,21.6,25.92592593,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,11,word-stem completion: neutral unprimed,15,0,0,8.07,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,12,word-stem completion: neutral primed-unprimed,8,0,0,0.9,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,13,word-stem completion: positive primed,9,0,0,6.29,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,14,word-stem completion: positive unprimed,9,0.173205081,0.03,10.84,26.19926199,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,15,recognition: negative hits,38,0.316227766,0.1,85.01,56.47570874,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,16,recognition: negative false alarms,19,0,0,17.9,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,17,recognition: negative corrected hits,26,0.316227766,0.1,55.04,54.57848837,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,18,recognition: neutral hits,28,0.346410162,0.12,67.1,59.76154993,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,19,recognition: neutral false alarms,15,0,0,6,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,20,recognition: neutral corrected hits,21,0,0,0.9,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,21,recognition: positive hits,20,0,0,9.46,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,22,recognition: positive false alarms,9,0,0,2.2,0,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,23,recognition: positive corrected hits,12,0,0,12.08,8.940397351,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,24,recall: negative hits,101,0.264575131,0.07,187.26,46.59831251,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,25,recall: neutral hits,71,0,0,70.74,1.046084252,Hedges' g,trim-and-fill/funnel plot,no,0
Mitte 2008,26,recall: positive hits,57,0,0,41.96,0,Hedges' g,trim-and-fill/funnel plot,no,0
Steel 2007,1,task procrastination,8,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,2,trait procrastination,10,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,3,neuroticism,59,0.08,0.0064,,,Corrected Pearson's r,publication status as moderator,yes,1
Steel 2007,4,all irrational beliefs,71,0.12,0.0144,,,Corrected Pearson's r,publication status as moderator,yes,1
Steel 2007,5,self-efficacy,39,0.12,0.0144,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,6,self-esteem,33,0.07,0.0049,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,7,self-handicapping,16,0.13,0.0169,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,8,depression,56,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,9,openness to experience,16,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,10,intelligence/aptitude,14,0.08,0.0064,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,11,agreeableness,24,0.07,0.0049,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,12,extraversion,18,0.04,0.0016,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,13,positive affect,12,0.06,0.0036,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,14,impulsiveness,22,0.11,0.0121,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,15,sensation seeking,11,0.15,0.0225,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,16,boredom proneness,3,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,17,conscientiousness,20,0.06,0.0036,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,18,self-control,21,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,19,distractibility,13,0.11,0.0121,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,20,organization,25,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,21,achievement motivation,34,0.13,0.0169,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,22,dilatory behavior,16,0.08,0.0064,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,23,intention,8,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,24,intention-action gap,6,0,0,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,25,overall performance,41,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,26,GPA,19,0.07,0.0049,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,27,course GPA,10,0.03,0.0009,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,28,final exam,11,0.18,0.0324,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,29,assignments,13,0.15,0.0225,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,30,uncorrected age,16,0.08,0.0064,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,31,corrected age,16,0.13,0.0169,,,Corrected Pearson's r,publication status as moderator,no,0
Steel 2007,32,gender,44,0.1,0.01,,,Corrected Pearson's r,publication status as moderator,no,0
Weisz et al. 2006,1,psychotherapy and depression,35,0.4,0.16,,,mean WLS ES,publication status as moderator,no,0
Webb & Sheeran 2006,1,interventions and intention,47,0.54,0.2916,,,Cohen's d,publication status as moderator,NA,NA
Webb & Sheeran 2006,2,interventions and behavior,47,0.48,0.2304,,,Cohen's d,publication status as moderator,NA,NA
Johnson et al. 2006,1,proposition 1a,28,0.023,0.000529,49.851,45.83859903,Cohen's d,trim-and-fill,no,0
Johnson et al. 2006,2,proposition 1b,29,0.078,0.006084,89.806,68.82168229,Cohen's d,trim-and-fill,no,0
Johnson et al. 2006,3,proposition 2,27,0.021,0.000441,55.611,53.24665983,Cohen's d,trim-and-fill,no,0
Johnson et al. 2006,4,proposition 3,23,0.14,0.0196,113.598,80.63346186,Cohen's d,trim-and-fill,no,0
Hakim & Viswesvaran 2005,1,calculative OC and affective OC,3,0.3269,0.10686361,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,2,calculative OC and normative OC,3,0,0,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,3,affective OC and continuance OC,163,0.2086,0.04351396,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,4,affective OC and normative OC,59,0.131,0.017161,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,5,continuance OC and normative OC,56,0.1397,0.01951609,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,6,job involvement and OC,142,0.1911,0.03651921,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,7,job involvement and attitudinal OC,4,0.1621,0.02627641,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,8,job involvement and calculative OC,5,0.048,0.002304,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,9,job involvement and affective OC,22,0.3328,0.11075584,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,10,job involvement and continuance OC,10,0.1544,0.02383936,,,Corrected Pearson's r,NA,NA,NA
Hakim & Viswesvaran 2005,11,job incolvement and normative OC,5,0,0,,,Corrected Pearson's r,NA,NA,NA
Mitte 2005,1,(C)BT no-treatment control: anxiety,19,0,0,10.91,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,2,(C)BT no-treatment control: depression,15,0,0,8.69,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,3,(C)BT no-treatment control: quality of life,6,0,0,4.04,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,4,(C)BT placebo control: anxiety,9,0,0,7.28,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,5,(C)BT placebo control: depression,6,0,0,1.06,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,6,(C)BT placebo control: clinical significance,4,0,0,2.8,0,Hedges' g,rank correlation test/trim-and-fill,no,0
Mitte 2005,7,(C)BT pharmacotherapy: anxiety,8,0,0,6.8,0,Hedges' g,rank correlation test/trim-and-fill,yes,1
Robbins et al. 2004,1,achievement motivation and retention,7,0.116,0.013456,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,2,academic goals and retention,33,0.314,0.098596,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,3,institutional commitment and retention,28,0.286,0.081796,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,4,social support and retention,26,0.254,0.064516,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,5,social involvement and retention,36,0.157,0.024649,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,6,academic self-efficacy and retention,6,0.009,0.000081,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,7,general self-concept and retention,6,0.098,0.009604,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,8,academic-related skills and retention,8,0.337,0.113569,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,9,financial support and retention,6,0.029,0.000841,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,10,institutional size and retention,6,0.048,0.002304,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,11,institutional selectivity and retention,6,0.172,0.029584,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,12,SES and retention,6,0.049,0.002401,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,13,high school GPA  and retention,12,0.151,0.022801,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,14,ACT/SAT scores and retention,11,0.09,0.0081,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,15,achievement motivation and GPA,17,0.131,0.017161,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,16,academic goals and GPA,34,0.099,0.009801,,,Corrected Pearson's r,trim-and-fill,yes,1
Robbins et al. 2004,17,institutional commitment and GPA,11,0.081,0.006561,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,18,social support and GPA,33,0.097,0.009409,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,19,social involvement and GPA,33,0.122,0.014884,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,20,academic self-efficacy and GPA,18,0.172,0.029584,,,Corrected Pearson's r,trim-and-fill,yes,1
Robbins et al. 2004,21,general self-concept and GPA,21,0.121,0.014641,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,22,academic-related skills and GPA,33,0.097,0.009409,,,Corrected Pearson's r,trim-and-fill,yes,1
Robbins et al. 2004,23,financial support and GPA,5,0.081,0.006561,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,24,SES and GPA,13,0.044,0.001936,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,25,high school GPA and GPA,30,0.17,0.0289,,,Corrected Pearson's r,trim-and-fill,no,0
Robbins et al. 2004,26,ACT/SAT scores and GPA,31,0.154,0.023716,,,Corrected Pearson's r,trim-and-fill,no,0
Thoresen et al. 2003,1,PA and job satisfaction,79,0.16,0.0256,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,2,NA and job satisfaction,176,0.13,0.0169,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,3,PA and organizational commitment,15,0.18,0.0324,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,4,NA and organizational commitment,27,0.18,0.0324,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,5,PA and emotional exhaustion,11,0.05,0.0025,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,6,NA and emotional exhaustion,23,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,7,PA and depersonalization,10,0.14,0.0196,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,8,NA and depersonalization,18,0.11,0.0121,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
Thoresen et al. 2003,9,PA and personal accomplishment,10,0.11,0.0121,,,Corrected Pearson's r,publication status as moderator/fail-safe N,no,0
