Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Chacko, et al. 2014",Blank,decoding,posttest,-0.0500,44,41,1,-0.0495,0.2151,treat,children,large,r,l,WRAT- Word Reading,Blank,cogmed,8.4,8.4,Children diagnosed with ADHD based on parent and teacher ratings on the Disruptive Behavior Disorder Ratings Scale and impairment using Impariement Rating Scale and a semistructured interview with the parent using the Kiddie-SADS. Internet access. Parent and child fluent in english.,30-45 min increments over 5 days per week with 25 training sessions. 2-4 weeks before start of treatment was first assessment. Posttreatment assessments were approximately 3 weeks after final training day. ,CogMed (2006),published,Blank,Random Assigment. Double Blind. 
"Chacko, et al. 2014",Blank,reading comprehension,posttest,0.3079,44,41,1,0.3051,0.2164,treat,children,large,r,l,WRAT-4 sentence comprehension ,Blank,cogmed,8.4,8.4,Children diagnosed with ADHD based on parent and teacher ratings on the Disruptive Behavior Disorder Ratings Scale and impairment using Impariement Rating Scale and a semistructured interview with the parent using the Kiddie-SADS. Internet access. Parent and child fluent in english.,30-45 min increments over 5 days per week with 25 training sessions. 2-4 weeks before start of treatment was first assessment. Posttreatment assessments were approximately 3 weeks after final training day. ,CogMed (2006),published,Blank,Random Assigment. Double Blind. 
"Chacko, et al. 2014",Blank,verbal working memory,posttest,0.2900,44,41,1,0.2874,0.2162,treat,children,large,r,l,listening recal,Blank,cogmed,8.4,8.4,Children diagnosed with ADHD based on parent and teacher ratings on the Disruptive Behavior Disorder Ratings Scale and impairment using Impariement Rating Scale and a semistructured interview with the parent using the Kiddie-SADS. Internet access. Parent and child fluent in english.,30-45 min increments over 5 days per week with 25 training sessions. 2-4 weeks before start of treatment was first assessment. Posttreatment assessments were approximately 3 weeks after final training day. ,CogMed (2006),published,Blank,Random Assigment. Double Blind. 
"Chacko, et al. 2014",Blank,visual working memory,posttest,0.0700,44,41,1,0.0694,0.2152,treat,children,large,r,l,spatial recall,Blank,cogmed,8.4,8.4,Children diagnosed with ADHD based on parent and teacher ratings on the Disruptive Behavior Disorder Ratings Scale and impairment using Impariement Rating Scale and a semistructured interview with the parent using the Kiddie-SADS. Internet access. Parent and child fluent in english.,30-45 min increments over 5 days per week with 25 training sessions. 2-4 weeks before start of treatment was first assessment. Posttreatment assessments were approximately 3 weeks after final training day. ,CogMed (2006),published,Blank,Random Assigment. Double Blind. 
Chein & Morrison 2010,Blank,crit,posttest,1.4200,22,20,1,1.3932,0.3391,untreated,adults,large,r,u,temporary memory,Blank,complex span,20.6,20.1,healthy undergraduates,30-45 minutes 5 days a week over 4 weeks,"Program developed for study, a combination of verbal and spatial wm tasks",published,Blank,"pre-post test controlgroup, randomized"
Chein & Morrison 2010,Blank,nRaven,posttest,0.0600,22,20,1,0.0589,0.3032,untreated,adults,large,r,u,Raven,Blank,complex span,20.6,20.1,healthy undergraduates,30-45 minutes 5 days a week over 4 weeks,"Program developed for study, a combination of verbal and spatial wm tasks",published,Blank,"pre-post test controlgroup, randomized"
Chein & Morrison 2010,Blank,reading comprehension,posttest,0.5800,22,20,1,0.5691,0.3094,untreated,adults,large,r,u,nelson  denny reading test,Blank,complex span,20.6,20.1,healthy undergraduates,30-45 minutes 5 days a week over 4 weeks,"Program developed for study, a combination of verbal and spatial wm tasks",published,Blank,"pre-post test controlgroup, randomized"
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],nETS: Card Rotation,posttest,0.2528,9,15,1,0.2441,0.4086,treat,adults,small,n,u,ETS: Card Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],nETS: Paper Folding,posttest,0.7311,9,15,1,0.7059,0.4197,treat,adults,small,n,u,ETS: Paper Folding,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],nMental Rotation,posttest,-0.3042,9,15,1,-0.2937,0.4093,treat,adults,small,n,u,Mental Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],nRAPM,posttest,0.1081,9,15,1,0.1043,0.4074,treat,adults,small,n,u,RAPM,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],verbal working memory,posttest,0.1800,9,15,1,0.1738,0.4079,treat,adults,small,n,u,operation span,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 1",Comparison 1 [8 day E vs 8 day AC],vMill Hill Vocab,posttest,0.5500,9,15,1,0.5310,0.4143,treat,adults,small,n,u,Mill Hill Vocab,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],nETS: Card Rotation,posttest,0.4427,9,22,1,0.4312,0.3892,untreated,adults,small,n,u,ETS: Card Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],nETS: Paper Folding,posttest,0.4633,9,22,1,0.4512,0.3896,untreated,adults,small,n,u,ETS: Paper Folding,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],nMental Rotation,posttest,-0.9488,9,22,1,-0.9241,0.4028,untreated,adults,small,n,u,Mental Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],nRAPM,posttest,0.4434,9,22,1,0.4318,0.3892,untreated,adults,small,n,u,RAPM,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],verbal working memory,posttest,0.1400,9,22,1,0.1363,0.3858,untreated,adults,small,n,u,operation span,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 2",Comparison 2 [8 day E vs 8 day PC],vMill Hill Vocab,posttest,0.2466,9,22,1,0.2402,0.3866,untreated,adults,small,n,u,Mill Hill Vocab,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],nETS: Card nRotationn,posttest,-0.3254,13,11,1,-0.3142,0.3981,treat,adults,large,n,u,ETS: Card Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],nETS: Paper Folding,posttest,-0.2701,13,11,1,-0.2608,0.3973,treat,adults,large,n,u,ETS: Paper Folding,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],nMental Rotation,posttest,0.1184,13,11,1,0.1144,0.3959,treat,adults,large,n,u,Mental Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],nRAPM,posttest,0.2670,13,11,1,0.2578,0.3973,treat,adults,large,n,u,RAPM,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],verbal working memory,posttest,0.1200,13,11,1,0.1159,0.3959,treat,adults,large,n,u,operation span,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 3",Comparison 4 [20 day E vs 20 day AC],vMill Hill Vocab,posttest,-0.1547,13,11,1,-0.1494,0.3961,treat,adults,large,n,u,Mill Hill Vocab,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],nETS: Card Rotation,posttest,-0.5739,13,23,1,-0.5611,0.3457,untreated,adults,large,n,u,ETS: Card Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],nETS: Paper Folding,posttest,0.1942,13,23,1,0.1899,0.3400,untreated,adults,large,n,u,ETS: Paper Folding,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],nMental Rotation,posttest,0.3705,13,23,1,0.3623,0.3420,untreated,adults,large,n,u,Mental Rotation,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],nRAPM,posttest,0.1489,13,23,1,0.1455,0.3397,untreated,adults,large,n,u,RAPM,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],verbal working memory,posttest,0.0800,13,23,1,0.0782,0.3394,untreated,adults,large,n,u,operation span,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
"Chooi & Thompson, 2012 comp 4",Comparison 5 [20 day E vs 20 day PC],vMill Hill Vocab,posttest,-0.1945,13,23,1,-0.1901,0.3400,untreated,adults,large,n,u,Mill Hill Vocab,Blank,n back,about 20,about 20,Students enrolled at a private Midwestern University in Intro to Psy; Healthy Psy; or Quantitative Methods in Psy,Trained once a day for about 30 min 4 days a week. 20 day or 8  day training. ,Dual n-back task. Computerized.,published,Blank,"Intially randomly assigned but participants assigned to the experimental or active control were given option to be put in passive control. 3 x 2 factorial. (active control, passive control, or experimental group) and 2 conditions (8 day or 20 day). Active control group believed they were in exp. group. "
Clouter 2013,active,nCattell,posttest,0.6424,18,18,1,0.6281,0.3342,treat,adults,small,r,u,Cattell,Blank,n back,20.39,20.39,healthy adults,5 sessions per week for 3 weeks,modified dual n-back training,grey,Blank,randomized pre posttest design
Clouter 2013,active,nonverbal working memory,posttest,-0.0172,17,18,1,-0.0169,0.3305,treat,adults,small,r,u,symmetry span ,Blank,n back,20.39,20.39,healthy adults,5 sessions per week for 3 weeks,modified dual n-back training,grey,Blank,randomized pre posttest design
Clouter 2013,active,verbal working memory,posttest,0.5841,18,18,1,0.5711,0.3328,treat,adults,small,r,u,operation span,Blank,n back,20.39,20.39,healthy adults,5 sessions per week for 3 weeks,modified dual n-back training,grey,Blank,randomized pre posttest design
"Colom,  et al. 2013",Blank,arithmetic,posttest,0.3210,28,28,1,0.3165,0.2652,untreated,adults,large,n,u,DAT-NR ,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,nonverbal reasoning 1,posttest,0.3091,28,28,1,0.3048,0.2651,untreated,adults,large,n,u,RAPM ,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,nonverbal reasoning 2,posttest,0.2294,28,28,1,0.2261,0.2644,untreated,adults,large,n,u,DAT-AR ,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,verbal reasoning,posttest,0.0519,28,28,1,0.0511,0.2636,untreated,adults,large,n,u,PMA-R ,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,verbal reasoning 1,posttest,-0.3104,28,28,1,-0.3061,0.2651,untreated,adults,large,n,u,DAT-VR ,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,verbal reasoning 2,posttest,-0.1938,28,28,1,-0.1911,0.2642,untreated,adults,large,n,u,PMA-V,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,verbal working memory1,posttest,0.1400,28,28,1,0.1380,0.2639,untreated,adults,large,n,u,reading span,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,verbal working memory2,posttest,-0.2654,28,28,1,-0.2617,0.2647,untreated,adults,large,n,u,computation span,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
"Colom,  et al. 2013",Blank,visual working memory3,posttest,0.2700,28,28,1,0.2662,0.2647,untreated,adults,large,n,u,dot matrix,Blank,n back,18.2,18.4,"All female. Psychology Undergrad students. Right handed. 169 students completed battery of 12 intelligence tests and cognitive tasks measuring fluid-abstract and crystallized-verbal intelligence, WMC, and attention control. Participants were recruited from this pool--Partiicpants had a wide range of abilities. ",30 minutes 2 times a week for 12 weeks,"cognitive training program followed the guidelines reported by Jaeggi et al. (2008) but it was re-programmed for Visual Basic (2008 Version). Visual, auditory, and adaptive n back dual program. ",published,Blank,Matched groups based on general intelligence index and demographic variables. 
Dahlin 2011 and 2013,blank,aAddition,posttest,0.4408,42,15,1,0.4348,0.2995,untreated,children,large,n,l,Addition,Blank,cogmed,10.7,10.7,adhd,40 minutes every day for 5 weeks,cogmed,published,6-7 months,nonrandomised
Dahlin 2011 and 2013,blank,aBasic Number Screening Test,posttest,0.2469,42,15,1,0.2436,0.2975,untreated,children,large,n,l,Basic Number Screening Test,Blank,cogmed,10.7,10.7,adhd,40 minutes every day for 5 weeks,cogmed,published,6-7 months,nonrandomised
Dahlin 2011 and 2013,blank,aSubtraction,posttest,0.0030,42,15,1,0.0030,0.2967,untreated,children,large,n,l,Subtraction,Blank,cogmed,10.7,10.7,adhd,40 minutes every day for 5 weeks,cogmed,published,6-7 months,nonrandomised
Dahlin 2011 and 2013,Blank,decoding 1,posttest,0.3952,41,15,1,0.3897,0.2998,untreated,children,large,n,l,Word Decoding.,Blank,cogmed,9-12 y,9-12y,Special education needs & attention problems (either ADHD or rated by a teacher or school psychologists),5 weeks on a daily basis at school for 30-40 min. 8 excersises per day.  All children except one completed 20-25 days of training.,RoboMemo (computerized),published,6-7 months,Pretest-program-posttest-retention test design
Dahlin 2011 and 2013,Blank,decoding 2,posttest,-0.2414,29,15,1,-0.2370,0.3133,untreated,children,large,n,l,Orthographic verification,Blank,cogmed,9-12 y,9-12y,Special education needs & attention problems (either ADHD or rated by a teacher or school psychologists),5 weeks on a daily basis at school for 30-40 min. 8 excersises per day.  All children except one completed 20-25 days of training.,RoboMemo (computerized),published,6-7 months,Pretest-program-posttest-retention test design
Dahlin 2011 and 2013,Blank,reading comprehension,posttest,0.5707,41,15,1,0.5627,0.3023,untreated,children,large,n,l,Reading comprehension,Blank,cogmed,9-12 y,9-12y,Special education needs & attention problems (either ADHD or rated by a teacher or school psychologists),5 weeks on a daily basis at school for 30-40 min. 8 excersises per day.  All children except one completed 20-25 days of training.,RoboMemo (computerized),published,6-7 months,Pretest-program-posttest-retention test design
"Dahlin,  et al.  2008 comp 1",comparison 1,crit,follow up,1.0600,11,7,1,1.0095,0.4902,untreated,adults,large,r,u,Letter working memory task from Miyake et al. 2000,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,crit,posttest,1.0100,15,11,1,0.9781,0.4077,untreated,adults,large,r,u,Letter working memory task from Miyake et al. 2000,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,nRaven advanced progressive  matrices,follow up,-0.1500,11,7,1,-0.1429,0.4611,untreated,adults,large,r,u,Raven advanced progressive  matrices,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted computer program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,nRaven advanced progressive  matrices,posttest,0.3000,15,11,1,0.2905,0.3865,untreated,adults,large,r,u,Raven advanced progressive  matrices,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
